road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,notes
1,1,547,,0,0.86267,120,period-based
2,2,548,,0,0.86267,120,period-based
3,3,549,,0,0.86267,120,period-based
4,4,550,,0,0.86267,120,period-based
5,5,551,,0,0.86267,120,period-based
6,6,552,,0,0.86267,120,period-based
7,7,553,,0,0.86267,120,period-based
8,8,554,,0,0.86267,120,period-based
9,9,555,,0,0.86267,120,period-based
10,10,556,,0,0.86267,120,period-based
11,11,557,,0,0.86267,120,period-based
12,12,558,,0,0.86267,120,period-based
13,13,559,,0,0.86267,120,period-based
14,14,560,,0,0.86267,120,period-based
15,15,561,,0,0.86267,120,period-based
16,16,562,,0,0.86267,120,period-based
17,17,563,,0,0.86267,120,period-based
18,18,564,,0,0.86267,120,period-based
19,19,565,,0,0.86267,120,period-based
20,20,566,,0,0.86267,120,period-based
21,21,567,,0,0.86267,120,period-based
22,22,568,,0,0.86267,120,period-based
23,23,569,,0,0.86267,120,period-based
24,24,570,,0,0.86267,120,period-based
25,25,571,,0,0.86267,120,period-based
26,26,572,,0,0.86267,120,period-based
27,27,573,,0,0.86267,120,period-based
28,28,574,,0,0.86267,120,period-based
29,29,575,,0,0.86267,120,period-based
30,30,576,,0,0.86267,120,period-based
31,31,577,,0,0.86267,120,period-based
32,32,578,,0,0.86267,120,period-based
33,33,579,,0,0.86267,120,period-based
34,34,580,,0,0.86267,120,period-based
35,35,581,,0,0.86267,120,period-based
36,36,582,,0,0.86267,120,period-based
37,37,583,,0,0.86267,120,period-based
38,38,584,,0,0.86267,120,period-based
39,39,585,,0,0.86267,120,period-based
40,40,586,,0,0.86267,120,period-based
41,41,587,,0,0.86267,120,period-based
42,42,588,,0,0.86267,120,period-based
43,43,589,,0,0.86267,120,period-based
44,44,590,,0,0.86267,120,period-based
45,45,591,,0,0.86267,120,period-based
46,46,592,,0,0.86267,120,period-based
47,47,593,,0,0.86267,120,period-based
48,48,594,,0,0.86267,120,period-based
49,49,595,,0,0.86267,120,period-based
50,50,596,,0,0.86267,120,period-based
51,51,597,,0,0.86267,120,period-based
52,52,598,,0,0.86267,120,period-based
53,53,599,,0,0.86267,120,period-based
54,54,600,,0,0.86267,120,period-based
55,55,601,,0,0.86267,120,period-based
56,56,602,,0,0.86267,120,period-based
57,57,603,,0,0.86267,120,period-based
58,58,604,,0,0.86267,120,period-based
59,59,605,,0,0.86267,120,period-based
60,60,606,,0,0.86267,120,period-based
61,61,607,,0,0.86267,120,period-based
62,62,608,,0,0.86267,120,period-based
63,63,609,,0,0.86267,120,period-based
64,64,610,,0,0.86267,120,period-based
65,65,611,,0,0.86267,120,period-based
66,66,612,,0,0.86267,120,period-based
67,67,613,,0,0.86267,120,period-based
68,68,614,,0,0.86267,120,period-based
69,69,615,,0,0.86267,120,period-based
70,70,616,,0,0.86267,120,period-based
71,71,617,,0,0.86267,120,period-based
72,72,618,,0,0.86267,120,period-based
73,73,619,,0,0.86267,120,period-based
74,74,620,,0,0.86267,120,period-based
75,75,621,,0,0.86267,120,period-based
76,76,622,,0,0.86267,120,period-based
76,77,623,,0,0.86267,120,period-based
76,78,624,,0,0.86267,120,period-based
76,79,625,,0,0.86267,120,period-based
76,80,626,,0,0.86267,120,period-based
76,81,627,,0,0.86267,120,period-based
76,82,628,,0,0.86267,120,period-based
76,83,629,,0,0.86267,120,period-based
76,84,630,,0,0.86267,120,period-based
76,85,631,,0,0.86267,120,period-based
76,86,632,,0,0.86267,120,period-based
76,87,633,,0,0.86267,120,period-based
76,88,634,,0,0.86267,120,period-based
76,89,635,,0,0.86267,120,period-based
76,90,636,,0,0.86267,120,period-based
76,91,637,,0,0.86267,120,period-based
76,92,638,,0,0.86267,120,period-based
76,93,639,,0,0.86267,120,period-based
76,94,640,,0,0.86267,120,period-based
76,95,641,,0,0.86267,120,period-based
76,96,642,,0,0.86267,120,period-based
76,97,643,,0,0.86267,120,period-based
76,98,644,,0,0.86267,120,period-based
76,99,645,,0,0.86267,120,period-based
76,100,646,,0,0.86267,120,period-based
76,101,647,,0,0.86267,120,period-based
76,102,648,,0,0.86267,120,period-based
76,103,649,,0,0.86267,120,period-based
76,104,650,,0,0.86267,120,period-based
76,105,651,,0,0.86267,120,period-based
76,106,652,,0,0.86267,120,period-based
76,107,653,,0,0.86267,120,period-based
76,108,654,,0,0.86267,120,period-based
76,109,655,,0,0.86267,120,period-based
76,110,656,,0,0.86267,120,period-based
76,111,657,,0,0.86267,120,period-based
76,112,658,,0,0.86267,120,period-based
76,113,659,,0,0.86267,120,period-based
76,114,660,,0,0.86267,120,period-based
76,115,661,,0,0.86267,120,period-based
76,116,662,,0,0.86267,120,period-based
76,117,663,,0,0.86267,120,period-based
76,118,664,,0,0.86267,120,period-based
76,119,665,,0,0.86267,120,period-based
76,120,666,,0,0.86267,120,period-based
76,121,667,,0,0.86267,120,period-based
76,122,668,,0,0.86267,120,period-based
76,123,669,,0,0.86267,120,period-based
76,124,670,,0,0.86267,120,period-based
76,125,671,,0,0.86267,120,period-based
76,126,672,,0,0.86267,120,period-based
76,127,673,,0,0.86267,120,period-based
76,128,674,,0,0.86267,120,period-based
76,129,675,,0,0.86267,120,period-based
76,130,676,,0,0.86267,120,period-based
76,131,677,,0,0.86267,120,period-based
76,132,678,,0,0.86267,120,period-based
76,133,679,,0,0.86267,120,period-based
76,134,680,,0,0.86267,120,period-based
76,135,681,,0,0.86267,120,period-based
76,136,682,,0,0.86267,120,period-based
76,137,683,,0,0.86267,120,period-based
76,138,684,,0,0.86267,120,period-based
76,139,685,,0,0.86267,120,period-based
76,140,686,,0,0.86267,120,period-based
76,141,687,,0,0.86267,120,period-based
76,142,688,,0,0.86267,120,period-based
76,143,689,,0,0.86267,120,period-based
76,144,690,,0,0.86267,120,period-based
76,145,691,,0,0.86267,120,period-based
76,146,692,,0,0.86267,120,period-based
76,147,693,,0,0.86267,120,period-based
76,148,694,,0,0.86267,120,period-based
76,149,695,,0,0.86267,120,period-based
76,150,696,,0,0.86267,120,period-based
76,151,697,,0,0.86267,120,period-based
76,152,698,,0,0.86267,120,period-based
76,153,699,,0,0.86267,120,period-based
76,154,700,,0,0.86267,120,period-based
76,155,701,,0,0.86267,120,period-based
76,156,702,,0,0.86267,120,period-based
76,157,703,,0,0.86267,120,period-based
76,158,704,,0,0.86267,120,period-based
76,159,705,,0,0.86267,120,period-based
76,160,706,,0,0.86267,120,period-based
76,161,707,,0,0.86267,120,period-based
76,162,708,,0,0.86267,120,period-based
76,163,709,,0,0.86267,120,period-based
76,164,710,,0,0.86267,120,period-based
76,165,711,,0,0.86267,120,period-based
76,166,712,,0,0.86267,120,period-based
76,167,713,,0,0.86267,120,period-based
76,168,714,,0,0.86267,120,period-based
76,169,715,,0,0.86267,120,period-based
76,170,716,,0,0.86267,120,period-based
76,171,717,,0,0.86267,120,period-based
76,172,718,,0,0.86267,120,period-based
76,173,719,,0,0.86267,120,period-based
76,174,720,,0,0.86267,120,period-based
76,175,721,,0,0.86267,120,period-based
76,176,722,,0,0.86267,120,period-based
76,177,723,,0,0.86267,120,period-based
76,178,724,,0,0.86267,120,period-based
76,179,725,,0,0.86267,120,period-based
76,180,726,,0,0.86267,120,period-based
76,181,727,,0,0.86267,120,period-based
76,182,728,,0,0.86267,120,period-based
76,183,729,,0,0.86267,120,period-based
76,184,730,,0,0.86267,120,period-based
76,185,731,,0,0.86267,120,period-based
76,186,732,,0,0.86267,120,period-based
76,187,733,,0,0.86267,120,period-based
76,188,734,,0,0.86267,120,period-based
76,189,735,,0,0.86267,120,period-based
76,190,736,,0,0.86267,120,period-based
76,191,737,,0,0.86267,120,period-based
76,192,738,,0,0.86267,120,period-based
76,193,739,,0,0.86267,120,period-based
76,194,740,,0,0.86267,120,period-based
76,195,741,,0,0.86267,120,period-based
76,196,742,,0,0.86267,120,period-based
76,197,743,,0,0.86267,120,period-based
76,198,744,,0,0.86267,120,period-based
76,199,745,,0,0.86267,120,period-based
76,200,746,,0,0.86267,120,period-based
76,201,747,,0,0.86267,120,period-based
76,202,748,,0,0.86267,120,period-based
76,203,749,,0,0.86267,120,period-based
76,204,750,,0,0.86267,120,period-based
76,205,751,,0,0.86267,120,period-based
76,206,752,,0,0.86267,120,period-based
76,207,753,,0,0.86267,120,period-based
76,208,754,,0,0.86267,120,period-based
76,209,755,,0,0.86267,120,period-based
76,210,756,,0,0.86267,120,period-based
76,211,757,,0,0.86267,120,period-based
76,212,758,,0,0.86267,120,period-based
76,213,759,,0,0.86267,120,period-based
76,214,760,,0,0.86267,120,period-based
76,215,761,,0,0.86267,120,period-based
76,216,762,,0,0.86267,120,period-based
76,217,763,,0,0.86267,120,period-based
76,218,764,,0,0.86267,120,period-based
76,219,765,,0,0.86267,120,period-based
76,220,766,,0,0.86267,120,period-based
76,221,767,,0,0.86267,120,period-based
76,222,768,,0,0.86267,120,period-based
76,223,769,,0,0.86267,120,period-based
76,224,770,,0,0.86267,120,period-based
76,225,771,,0,0.86267,120,period-based
76,226,772,,0,0.86267,120,period-based
76,227,773,,0,0.86267,120,period-based
76,228,774,,0,0.86267,120,period-based
76,229,775,,0,0.86267,120,period-based
76,230,776,,0,0.86267,120,period-based
76,231,777,,0,0.86267,120,period-based
76,232,778,,0,0.86267,120,period-based
76,233,779,,0,0.86267,120,period-based
76,234,780,,0,0.86267,120,period-based
76,235,781,,0,0.86267,120,period-based
76,236,782,,0,0.86267,120,period-based
76,237,783,,0,0.86267,120,period-based
76,238,784,,0,0.86267,120,period-based
76,239,785,,0,0.86267,120,period-based
76,240,786,,0,0.86267,120,period-based
76,241,787,,0,0.86267,120,period-based
76,242,788,,0,0.86267,120,period-based
76,243,789,,0,0.86267,120,period-based
76,244,790,,0,0.86267,120,period-based
76,245,791,,0,0.86267,120,period-based
76,246,792,,0,0.86267,120,period-based
76,247,793,,0,0.86267,120,period-based
76,248,794,,0,0.86267,120,period-based
76,249,795,,0,0.86267,120,period-based
76,250,796,,0,0.86267,120,period-based
76,251,797,,0,0.86267,120,period-based
76,252,798,,0,0.86267,120,period-based
76,253,799,,0,0.86267,120,period-based
76,254,800,,0,0.86267,120,period-based
76,255,801,,0,0.86267,120,period-based
76,256,802,,0,0.86267,120,period-based
76,257,803,,0,0.86267,120,period-based
76,258,804,,0,0.86267,120,period-based
76,259,805,,0,0.86267,120,period-based
76,260,806,,0,0.86267,120,period-based
76,261,807,,0,0.86267,120,period-based
76,262,808,,0,0.86267,120,period-based
76,263,809,,0,0.86267,120,period-based
76,264,810,,0,0.86267,120,period-based
76,265,811,,0,0.86267,120,period-based
76,266,812,,0,0.86267,120,period-based
76,267,813,,0,0.86267,120,period-based
76,268,814,,0,0.86267,120,period-based
76,269,815,,0,0.86267,120,period-based
76,270,816,,0,0.86267,120,period-based
76,271,817,,0,0.86267,120,period-based
76,272,818,,0,0.86267,120,period-based
76,273,819,,0,0.86267,120,period-based
76,274,820,,0,0.86267,120,period-based
76,275,821,,0,0.86267,120,period-based
76,276,822,,0,0.86267,120,period-based
76,277,823,,0,0.86267,120,period-based
